Loan_ID,LoanAmount,Loan_Amount_Term,Credit_History,Self_Employed,ApplicantIncome,CoapplicantIncome,Dependents,Married,Education,Property_Area,Loan_Status
LPP002991,145.0,360.0,0.0,No,5849,0.0,0,No,Graduate,Urban,Y
LPP002992,128.0,360.0,0.0,No,4583,1508.0,1,Yes,Graduate,Rural,N
LPP002993,66.0,360.0,0.0,Yes,3000,0.0,0,Yes,Graduate,Urban,Y
LPP002994,120.0,360.0,0.0,No,2583,2358.0,0,Yes,Not Graduate,Urban,Y
LPP002995,141.0,360.0,0.0,No,6000,0.0,0,No,Graduate,Urban,Y
LPP002996,267.0,360.0,0.0,Yes,5417,4196.0,2,Yes,Graduate,Urban,Y
LPP002997,95.0,360.0,0.0,No,2333,1516.0,0,Yes,Not Graduate,Urban,Y
LPP002998,158.0,360.0,0.0,No,3036,2504.0,3+,Yes,Graduate,Semiurban,N
LPP002999,168.0,360.0,0.0,No,4006,1526.0,2,Yes,Graduate,Urban,Y
LPP003000,349.0,360.0,0.0,No,12841,10968.0,1,Yes,Graduate,Semiurban,N
LPP003001,70.0,360.0,0.0,No,3200,700.0,2,Yes,Graduate,Urban,Y
LPP003002,109.0,360.0,0.0,No,2500,1840.0,2,Yes,Graduate,Urban,Y
LPP003003,200.0,360.0,0.0,No,3073,8106.0,2,Yes,Graduate,Urban,Y
LPP003004,114.0,360.0,0.0,No,1853,2840.0,0,No,Graduate,Rural,N
LPP003005,17.0,120.0,0.0,No,1299,1086.0,2,Yes,Graduate,Urban,Y
LPP003006,125.0,360.0,0.0,No,4950,0.0,0,No,Graduate,Urban,Y
LPP003007,100.0,240.0,0.0,No,3596,0.0,1,No,Not Graduate,Urban,Y
LPP003008,76.0,360.0,0.0,No,3510,0.0,0,No,Graduate,Urban,N
LPP003009,133.0,360.0,0.0,No,4887,0.0,0,Yes,Not Graduate,Rural,N
LPP003010,115.0,342.0,0.0,No,2600,3500.0,0,Yes,Graduate,Urban,Y
LPP003011,104.0,360.0,0.0,No,7660,0.0,0,Yes,Not Graduate,Urban,N
LPP003012,315.0,360.0,0.0,No,5955,5625.0,1,Yes,Graduate,Urban,Y
LPP003013,116.0,360.0,0.0,No,2600,1911.0,0,Yes,Not Graduate,Semiurban,N
LPP003014,112.0,360.0,0.0,No,3365,1917.0,2,Yes,Not Graduate,Rural,N
LPP003015,151.0,360.0,0.0,No,3717,2925.0,1,Yes,Graduate,Semiurban,N
LPP003016,191.0,360.0,0.0,Yes,9560,0.0,0,Yes,Graduate,Semiurban,Y
LPP003017,122.0,360.0,0.0,No,2799,2253.0,0,Yes,Graduate,Semiurban,Y
LPP003018,110.0,360.0,0.0,No,4226,1040.0,2,Yes,Not Graduate,Urban,Y
LPP003019,35.0,360.0,0.0,No,1442,0.0,0,No,Not Graduate,Urban,N
LPP003020,120.0,360.0,0.0,No,3750,2083.0,2,No,Graduate,Semiurban,Y
LPP003021,201.0,360.0,0.0,No,4166,3369.0,1,Yes,Graduate,Urban,N
LPP003022,74.0,360.0,0.0,No,3167,0.0,0,No,Graduate,Urban,N
LPP003023,106.0,360.0,0.0,Yes,4692,0.0,1,No,Graduate,Rural,N
LPP003024,114.0,360.0,0.0,No,3500,1667.0,0,Yes,Graduate,Semiurban,Y
LPP003025,320.0,360.0,0.0,No,12500,3000.0,3+,No,Graduate,Rural,N
LPP003026,145.0,360.0,0.0,No,2275,2067.0,0,Yes,Graduate,Urban,Y
LPP003027,100.0,342.0,0.0,No,1828,1330.0,0,Yes,Graduate,Urban,N
LPP003028,144.0,360.0,0.0,No,3667,1459.0,0,Yes,Graduate,Semiurban,Y
LPP003029,184.0,360.0,0.0,No,4166,7210.0,0,No,Graduate,Urban,Y
LPP003030,110.0,360.0,0.0,No,3748,1668.0,0,No,Not Graduate,Semiurban,Y
LPP003031,80.0,360.0,0.0,No,3600,0.0,0,No,Graduate,Urban,N
LPP003032,47.0,360.0,0.0,No,1800,1213.0,0,No,Graduate,Urban,Y
LPP003033,75.0,360.0,0.0,No,2400,0.0,0,Yes,Graduate,Urban,Y
LPP003034,134.0,360.0,0.0,No,3941,2336.0,0,Yes,Graduate,Semiurban,Y
LPP003035,96.0,342.0,0.0,Yes,4695,0.0,0,Yes,Not Graduate,Urban,Y
LPP003036,88.0,342.0,0.0,No,3410,0.0,0,No,Graduate,Urban,Y
LPP003037,44.0,360.0,0.0,No,5649,0.0,1,Yes,Graduate,Urban,Y
LPP003038,144.0,360.0,0.0,No,5821,0.0,0,Yes,Graduate,Urban,Y
LPP003039,120.0,360.0,0.0,No,2645,3440.0,0,Yes,Graduate,Urban,N
LPP003040,144.0,360.0,0.0,No,4000,2275.0,0,No,Graduate,Semiurban,Y
LPP003041,100.0,360.0,0.0,No,1928,1644.0,0,Yes,Not Graduate,Semiurban,Y
LPP003042,120.0,360.0,0.0,No,3086,0.0,0,No,Graduate,Semiurban,Y
LPP003043,112.0,360.0,0.0,No,4230,0.0,0,No,Graduate,Semiurban,N
LPP003044,134.0,360.0,0.0,No,4616,0.0,2,Yes,Graduate,Urban,N
LPP003045,286.0,360.0,0.0,Yes,11500,0.0,1,Yes,Graduate,Urban,N
LPP003046,97.0,360.0,0.0,No,2708,1167.0,2,Yes,Graduate,Semiurban,Y
LPP003047,96.0,360.0,0.0,No,2132,1591.0,0,Yes,Graduate,Semiurban,Y
LPP003048,135.0,360.0,0.0,No,3366,2200.0,0,Yes,Graduate,Rural,N
LPP003049,180.0,360.0,0.0,No,8080,2250.0,1,Yes,Graduate,Urban,Y
LPP003050,144.0,360.0,0.0,No,3357,2859.0,2,Yes,Not Graduate,Urban,Y
LPP003051,120.0,360.0,0.0,No,2500,3796.0,0,Yes,Graduate,Urban,Y
LPP003052,99.0,360.0,0.0,No,3029,0.0,3+,Yes,Graduate,Urban,Y
LPP003053,165.0,180.0,0.0,Yes,2609,3449.0,0,Yes,Not Graduate,Rural,N
LPP003054,145.0,360.0,0.0,No,4945,0.0,1,Yes,Graduate,Rural,N
LPP003055,116.0,360.0,0.0,No,4166,0.0,0,No,Graduate,Semiurban,N
LPP003056,258.0,360.0,0.0,No,5726,4595.0,0,Yes,Graduate,Semiurban,N
LPP003057,126.0,180.0,0.0,No,3200,2254.0,0,No,Not Graduate,Urban,N
LPP003058,312.0,360.0,0.0,No,10750,0.0,1,Yes,Graduate,Urban,Y
LPP003059,125.0,60.0,0.0,Yes,7100,0.0,3+,Yes,Not Graduate,Urban,Y
LPP003060,136.0,360.0,0.0,No,4300,0.0,0,No,Graduate,Semiurban,N
LPP003061,172.0,360.0,0.0,No,3208,3066.0,0,Yes,Graduate,Urban,Y
LPP003062,97.0,360.0,0.0,Yes,1875,1875.0,2,Yes,Not Graduate,Semiurban,Y
LPP003063,81.0,300.0,0.0,No,3500,0.0,0,No,Graduate,Semiurban,Y
LPP003064,95.0,342.0,0.0,No,4755,0.0,3+,Yes,Not Graduate,Semiurban,N
LPP003065,187.0,360.0,0.0,Yes,5266,1774.0,3+,Yes,Graduate,Semiurban,Y
LPP003066,113.0,480.0,0.0,No,3750,0.0,0,No,Graduate,Urban,N
LPP003067,176.0,360.0,0.0,No,3750,4750.0,0,No,Graduate,Urban,N
LPP003068,110.0,360.0,0.0,Yes,1000,3022.0,1,Yes,Graduate,Urban,N
LPP003069,180.0,300.0,0.0,No,3167,4000.0,3+,Yes,Graduate,Semiurban,N
LPP003070,130.0,360.0,0.0,Yes,3333,2166.0,3+,Yes,Not Graduate,Semiurban,Y
LPP003071,111.0,360.0,0.0,No,3846,0.0,0,No,Graduate,Semiurban,Y
LPP003072,145.0,360.0,0.0,Yes,2395,0.0,1,Yes,Graduate,Semiurban,Y
LPP003073,167.0,360.0,0.0,No,1378,1881.0,2,Yes,Graduate,Urban,N
LPP003074,265.0,360.0,0.0,No,6000,2250.0,0,Yes,Graduate,Semiurban,N
LPP003075,50.0,240.0,0.0,No,3988,0.0,1,Yes,Graduate,Urban,Y
LPP003076,136.0,360.0,0.0,No,2366,2531.0,0,No,Graduate,Semiurban,Y
LPP003077,99.0,360.0,0.0,No,3333,2000.0,2,Yes,Not Graduate,Semiurban,Y
LPP003078,104.0,360.0,0.0,No,2500,2118.0,0,Yes,Graduate,Semiurban,Y
LPP003079,210.0,360.0,0.0,No,8566,0.0,0,No,Graduate,Urban,Y
LPP003080,175.0,360.0,0.0,No,5695,4167.0,0,Yes,Graduate,Semiurban,Y
LPP003081,131.0,360.0,0.0,No,2958,2900.0,0,Yes,Graduate,Semiurban,Y
LPP003082,188.0,180.0,0.0,No,6250,5654.0,2,Yes,Graduate,Semiurban,Y
LPP003083,81.0,360.0,0.0,No,3273,1820.0,2,Yes,Not Graduate,Urban,Y
LPP003084,122.0,360.0,0.0,No,4133,0.0,0,No,Graduate,Semiurban,Y
LPP003085,25.0,120.0,0.0,No,3620,0.0,0,No,Not Graduate,Semiurban,Y
LPP003086,145.0,360.0,0.0,No,6782,0.0,0,No,Graduate,Urban,N
LPP003087,137.0,360.0,0.0,No,2484,2302.0,0,Yes,Graduate,Semiurban,Y
LPP003088,50.0,360.0,0.0,No,1977,997.0,0,Yes,Graduate,Semiurban,Y
LPP003089,115.0,180.0,0.0,No,4188,0.0,0,Yes,Not Graduate,Semiurban,Y
LPP003090,131.0,360.0,0.0,No,1759,3541.0,0,Yes,Graduate,Semiurban,Y
LPP003091,133.0,180.0,0.0,No,4288,3263.0,2,Yes,Not Graduate,Urban,Y
LPP003092,151.0,360.0,0.0,No,4843,3806.0,0,No,Graduate,Semiurban,Y
LPP003093,145.0,360.0,0.0,No,13650,0.0,0,Yes,Graduate,Urban,Y
LPP003094,145.0,360.0,0.0,No,4652,3583.0,0,Yes,Graduate,Semiurban,Y
LPP003095,160.0,360.0,0.0,No,3816,754.0,0,No,Graduate,Urban,Y
LPP003096,100.0,360.0,0.0,No,3052,1030.0,1,Yes,Graduate,Urban,Y
LPP003097,225.0,360.0,0.0,No,11417,1126.0,2,Yes,Graduate,Urban,Y
LPP003098,120.0,360.0,0.0,No,7333,0.0,0,No,Not Graduate,Rural,N
LPP003099,216.0,360.0,0.0,No,3800,3600.0,2,Yes,Graduate,Urban,N
LPP003100,94.0,480.0,0.0,No,2071,754.0,3+,Yes,Not Graduate,Semiurban,Y
LPP003101,136.0,360.0,0.0,No,5316,0.0,0,No,Graduate,Urban,Y
LPP003102,139.0,360.0,0.0,No,2929,2333.0,0,Yes,Graduate,Semiurban,Y
LPP003103,152.0,342.0,0.0,No,3572,4114.0,0,Yes,Not Graduate,Rural,N
LPP003104,145.0,360.0,0.0,Yes,7451,0.0,1,No,Graduate,Semiurban,Y
LPP003105,118.0,360.0,0.0,No,5050,0.0,0,No,Graduate,Semiurban,Y
LPP003106,185.0,180.0,0.0,No,14583,0.0,1,Yes,Graduate,Rural,Y
LPP003107,154.0,360.0,0.0,No,3167,2283.0,0,Yes,Graduate,Semiurban,Y
LPP003108,85.0,360.0,0.0,No,2214,1398.0,1,Yes,Graduate,Urban,Y
LPP003109,175.0,360.0,0.0,No,5568,2142.0,0,Yes,Graduate,Rural,N
LPP003110,259.0,360.0,0.0,No,10408,0.0,0,No,Graduate,Urban,Y
LPP003111,180.0,360.0,0.0,No,5667,2667.0,0,Yes,Graduate,Rural,Y
LPP003112,44.0,360.0,0.0,No,4166,0.0,0,No,Graduate,Semiurban,Y
LPP003113,137.0,360.0,0.0,No,2137,8980.0,0,No,Graduate,Semiurban,Y
LPP003114,81.0,360.0,0.0,No,2957,0.0,2,Yes,Graduate,Semiurban,Y
LPP003115,194.0,360.0,0.0,No,4300,2014.0,0,Yes,Not Graduate,Rural,Y
LPP003116,93.0,360.0,0.0,No,3692,0.0,0,No,Graduate,Rural,Y
LPP003117,370.0,360.0,0.0,No,23803,0.0,3+,Yes,Graduate,Rural,Y
LPP003118,145.0,360.0,0.0,No,3865,1640.0,0,No,Graduate,Rural,Y
LPP003119,160.0,180.0,0.0,Yes,10513,3850.0,1,Yes,Graduate,Urban,N
LPP003120,182.0,360.0,0.0,No,6080,2569.0,0,Yes,Graduate,Rural,N
LPP003121,650.0,480.0,0.0,Yes,20166,0.0,0,No,Graduate,Urban,Y
LPP003122,74.0,360.0,0.0,No,2014,1929.0,0,No,Graduate,Urban,Y
LPP003123,70.0,360.0,0.0,No,2718,0.0,0,No,Graduate,Semiurban,Y
LPP003124,25.0,120.0,0.0,Yes,3459,0.0,0,Yes,Graduate,Semiurban,Y
LPP003125,102.0,360.0,0.0,No,4895,0.0,0,No,Graduate,Semiurban,Y
LPP003126,290.0,360.0,0.0,No,4000,7750.0,3+,Yes,Graduate,Semiurban,N
LPP003127,84.0,360.0,0.0,No,4583,0.0,0,Yes,Graduate,Rural,N
LPP003128,88.0,360.0,0.0,Yes,3316,3500.0,2,Yes,Graduate,Urban,Y
LPP003129,242.0,360.0,0.0,No,14999,0.0,0,No,Graduate,Semiurban,N
LPP003130,129.0,360.0,0.0,No,4200,1430.0,2,Yes,Not Graduate,Rural,N
LPP003131,185.0,360.0,0.0,No,5042,2083.0,2,Yes,Graduate,Rural,N
LPP003132,168.0,360.0,0.0,No,5417,0.0,0,No,Graduate,Urban,Y
LPP003133,175.0,180.0,0.0,Yes,6950,0.0,0,No,Graduate,Semiurban,Y
LPP003134,122.0,360.0,0.0,No,2698,2034.0,0,Yes,Graduate,Semiurban,Y
LPP003135,187.0,180.0,0.0,No,11757,0.0,2,Yes,Graduate,Urban,Y
LPP003136,100.0,360.0,0.0,No,2330,4486.0,0,Yes,Graduate,Semiurban,Y
LPP003137,70.0,360.0,0.0,No,14866,0.0,2,Yes,Graduate,Urban,Y
LPP003138,30.0,360.0,0.0,No,1538,1425.0,1,Yes,Graduate,Urban,Y
LPP003139,225.0,360.0,0.0,No,10000,1666.0,0,No,Graduate,Rural,N
LPP003140,125.0,360.0,0.0,No,4860,830.0,0,Yes,Graduate,Semiurban,Y
LPP003141,118.0,360.0,0.0,No,6277,0.0,0,No,Graduate,Rural,N
LPP003142,152.0,360.0,0.0,Yes,2577,3750.0,0,Yes,Graduate,Rural,Y
LPP003143,244.0,360.0,0.0,No,9166,0.0,0,No,Graduate,Urban,N
LPP003144,113.0,360.0,0.0,No,2281,0.0,2,Yes,Not Graduate,Rural,N
LPP003145,50.0,360.0,0.0,No,3254,0.0,0,No,Graduate,Urban,Y
LPP003146,600.0,180.0,0.0,No,39999,0.0,3+,Yes,Graduate,Semiurban,Y
LPP003147,160.0,360.0,0.0,No,6000,0.0,1,Yes,Graduate,Rural,Y
LPP003148,187.0,360.0,0.0,No,9538,0.0,1,Yes,Graduate,Urban,Y
LPP003149,120.0,360.0,0.0,No,2980,2083.0,0,No,Graduate,Rural,Y
LPP003150,255.0,360.0,0.0,No,4583,5625.0,0,Yes,Graduate,Semiurban,Y
LPP003151,98.0,360.0,0.0,No,1863,1041.0,0,Yes,Not Graduate,Semiurban,Y
LPP003152,275.0,360.0,0.0,No,7933,0.0,0,Yes,Graduate,Urban,N
LPP003153,121.0,360.0,0.0,No,3089,1280.0,1,Yes,Graduate,Semiurban,N
LPP003154,158.0,360.0,0.0,No,4167,1447.0,2,Yes,Graduate,Rural,Y
LPP003155,75.0,180.0,0.0,No,9323,0.0,0,Yes,Graduate,Urban,Y
LPP003156,182.0,342.0,0.0,No,3707,3166.0,0,Yes,Graduate,Rural,Y
LPP003157,112.0,360.0,0.0,No,4583,0.0,0,Yes,Graduate,Rural,N
LPP003158,129.0,360.0,0.0,No,2439,3333.0,0,Yes,Graduate,Rural,Y
LPP003159,63.0,480.0,0.0,No,2237,0.0,0,No,Graduate,Semiurban,N
LPP003160,200.0,360.0,0.0,No,8000,0.0,2,Yes,Graduate,Semiurban,Y
LPP003161,95.0,360.0,0.0,No,1820,1769.0,0,Yes,Not Graduate,Rural,Y
LPP003162,700.0,300.0,0.0,No,51763,0.0,3+,Yes,Graduate,Urban,Y
LPP003163,81.0,180.0,0.0,No,3522,0.0,3+,Yes,Not Graduate,Rural,N
LPP003164,187.0,360.0,0.0,No,5708,5625.0,0,Yes,Graduate,Semiurban,Y
LPP003165,87.0,360.0,0.0,Yes,4344,736.0,0,Yes,Not Graduate,Semiurban,N
LPP003166,116.0,360.0,0.0,No,3497,1964.0,0,Yes,Graduate,Rural,Y
LPP003167,101.0,360.0,0.0,No,2045,1619.0,2,Yes,Graduate,Rural,Y
LPP003168,495.0,360.0,0.0,No,5516,11300.0,3+,Yes,Graduate,Semiurban,N
LPP003169,116.0,360.0,0.0,No,3750,0.0,1,Yes,Graduate,Semiurban,Y
LPP003170,102.0,480.0,0.0,No,2333,1451.0,0,No,Not Graduate,Urban,N
LPP003171,180.0,360.0,0.0,No,6400,7250.0,1,Yes,Graduate,Urban,N
LPP003172,67.0,360.0,0.0,No,1916,5063.0,0,No,Graduate,Rural,N
LPP003173,73.0,180.0,0.0,No,4600,0.0,0,Yes,Graduate,Semiurban,Y
LPP003174,260.0,360.0,0.0,No,33846,0.0,1,Yes,Graduate,Semiurban,N
LPP003175,108.0,360.0,0.0,No,3625,0.0,0,Yes,Graduate,Semiurban,Y
LPP003176,120.0,360.0,0.0,Yes,39147,4750.0,0,Yes,Graduate,Semiurban,Y
LPP003177,66.0,300.0,0.0,Yes,2178,0.0,1,Yes,Graduate,Rural,N
LPP003178,58.0,360.0,0.0,No,2383,2138.0,0,Yes,Graduate,Rural,Y
LPP003179,168.0,360.0,0.0,Yes,674,5296.0,0,Yes,Graduate,Rural,Y
LPP003180,188.0,180.0,0.0,No,9328,0.0,0,Yes,Graduate,Rural,Y
LPP003181,48.0,360.0,0.0,No,4885,0.0,0,No,Not Graduate,Rural,Y
LPP003182,164.0,360.0,0.0,No,12000,0.0,0,No,Graduate,Semiurban,N
LPP003183,160.0,360.0,0.0,No,6033,0.0,0,Yes,Not Graduate,Urban,N
LPP003184,76.0,360.0,0.0,No,3858,0.0,0,No,Graduate,Semiurban,Y
LPP003185,120.0,360.0,0.0,No,4191,0.0,0,No,Graduate,Rural,Y
LPP003186,170.0,360.0,0.0,No,3125,2583.0,1,Yes,Graduate,Semiurban,N
LPP003187,187.0,360.0,0.0,No,8333,3750.0,0,No,Graduate,Rural,Y
LPP003188,120.0,342.0,0.0,No,1907,2365.0,0,No,Not Graduate,Urban,Y
LPP003189,113.0,360.0,0.0,No,3416,2816.0,0,Yes,Graduate,Semiurban,Y
LPP003190,83.0,360.0,0.0,Yes,11000,0.0,0,No,Graduate,Urban,N
LPP003191,90.0,360.0,0.0,No,2600,2500.0,1,Yes,Not Graduate,Semiurban,Y
LPP003192,166.0,360.0,0.0,No,4923,0.0,2,No,Graduate,Semiurban,Y
LPP003193,145.0,180.0,0.0,No,3992,0.0,3+,Yes,Not Graduate,Urban,N
LPP003194,135.0,360.0,0.0,No,3500,1083.0,1,Yes,Not Graduate,Urban,Y
LPP003195,124.0,360.0,0.0,No,3917,0.0,2,Yes,Not Graduate,Semiurban,Y
LPP003196,120.0,360.0,0.0,No,4408,0.0,0,No,Not Graduate,Semiurban,Y
LPP003197,80.0,360.0,0.0,No,3244,0.0,0,No,Graduate,Urban,Y
LPP003198,55.0,360.0,0.0,No,3975,2531.0,0,No,Not Graduate,Rural,Y
LPP003199,59.0,360.0,0.0,No,2479,0.0,0,No,Graduate,Urban,Y
LPP003200,127.0,360.0,0.0,No,3418,0.0,0,No,Graduate,Semiurban,N
LPP003201,214.0,360.0,0.0,No,10000,0.0,0,No,Graduate,Semiurban,N
LPP003202,128.0,360.0,0.0,No,3430,1250.0,3+,Yes,Graduate,Semiurban,N
LPP003203,240.0,360.0,0.0,Yes,7787,0.0,1,Yes,Graduate,Urban,Y
LPP003204,130.0,360.0,0.0,Yes,5703,0.0,3+,Yes,Not Graduate,Rural,Y
LPP003205,137.0,360.0,0.0,No,3173,3021.0,0,Yes,Graduate,Urban,Y
LPP003206,100.0,360.0,0.0,No,3850,983.0,3+,Yes,Not Graduate,Semiurban,Y
LPP003207,135.0,360.0,0.0,No,150,1800.0,0,Yes,Graduate,Rural,N
LPP003208,131.0,360.0,0.0,No,3727,1775.0,0,Yes,Graduate,Semiurban,Y
LPP003209,72.0,360.0,0.0,No,5000,0.0,2,Yes,Graduate,Semiurban,N
LPP003210,127.0,360.0,0.0,No,4283,2383.0,2,Yes,Graduate,Semiurban,Y
LPP003211,60.0,360.0,0.0,No,2221,0.0,0,Yes,Graduate,Urban,N
LPP003212,116.0,360.0,0.0,No,4009,1717.0,2,Yes,Graduate,Semiurban,Y
LPP003213,144.0,360.0,0.0,No,2971,2791.0,0,No,Graduate,Semiurban,Y
LPP003214,175.0,342.0,0.0,No,7578,1010.0,0,Yes,Graduate,Semiurban,Y
LPP003215,128.0,360.0,0.0,No,6250,0.0,0,Yes,Graduate,Semiurban,Y
